Codigo;Descripcion;Categoria;Unidad;TasaItbis;Costo;PrecioVenta;ExistenciaInicial;ExistenciaMinima;ManejaInventario
VIV-001;Arroz Selecto;Viveres;LB;0.00;28.0000;34.0000;450.000;80.000;1
VIV-002;Habichuela Roja;Viveres;LB;0.00;52.0000;62.0000;180.000;40.000;1
VIV-003;Habichuela Negra;Viveres;LB;0.00;48.0000;58.0000;120.000;30.000;1
VIV-004;Azucar Crema;Viveres;LB;0.00;24.0000;30.0000;200.000;50.000;1
VIV-005;Sal Refinada;Viveres;LB;0.00;12.0000;18.0000;90.000;20.000;1
VIV-006;Aceite Vegetal 1LT;Viveres;UND;0.00;145.0000;175.0000;60.000;15.000;1
VIV-007;Espagueti Milani 200g;Viveres;PAQ;0.18;22.0000;30.0000;140.000;30.000;1
VIV-008;Harina de Trigo;Viveres;LB;0.00;20.0000;26.0000;110.000;25.000;1
VIV-009;Avena en Hojuelas;Viveres;LB;0.18;42.0000;55.0000;70.000;15.000;1
VIV-010;Cafe Molido Santo Domingo;Viveres;LB;0.18;210.0000;265.0000;45.000;10.000;1
VIV-011;Cacao en Polvo;Viveres;LB;0.18;95.0000;125.0000;35.000;8.000;1
VIV-012;Maiz para Moro;Viveres;LB;0.18;32.0000;42.0000;60.000;15.000;1
CAR-001;Pollo Entero Fresco;Carnes y Embutidos;LB;0.18;62.0000;78.0000;220.000;50.000;1
CAR-002;Muslo de Pollo;Carnes y Embutidos;LB;0.18;58.0000;72.0000;160.000;40.000;1
CAR-003;Carne de Res Molida;Carnes y Embutidos;LB;0.18;145.0000;180.0000;90.000;25.000;1
CAR-004;Chuleta de Cerdo;Carnes y Embutidos;LB;0.18;125.0000;158.0000;80.000;20.000;1
CAR-005;Salami Induveca;Carnes y Embutidos;LB;0.18;88.0000;112.0000;65.000;15.000;1
CAR-006;Jamon de Pierna;Carnes y Embutidos;LB;0.18;135.0000;172.0000;40.000;10.000;1
CAR-007;Salchichon Especial;Carnes y Embutidos;UND;0.18;95.0000;125.0000;50.000;12.000;1
CAR-008;Longaniza Criolla;Carnes y Embutidos;LB;0.18;110.0000;142.0000;45.000;12.000;1
LAC-001;Leche Entera 1LT;Lacteos;UND;0.00;68.0000;82.0000;90.000;24.000;1
LAC-002;Leche en Polvo 400g;Lacteos;UND;0.18;285.0000;355.0000;40.000;10.000;1
LAC-003;Queso de Freir;Lacteos;LB;0.18;165.0000;210.0000;55.000;12.000;1
LAC-004;Queso Geo Amarillo;Lacteos;LB;0.18;190.0000;240.0000;35.000;8.000;1
LAC-005;Yogurt Bebible 200ml;Lacteos;UND;0.18;32.0000;45.0000;70.000;18.000;1
LAC-006;Mantequilla 250g;Lacteos;UND;0.18;115.0000;148.0000;30.000;8.000;1
LAC-007;Huevos de Gallina;Lacteos;UND;0.00;9.0000;13.0000;360.000;60.000;1
BEB-001;Coca-Cola 2LT;Bebidas;UND;0.18;95.0000;125.0000;120.000;30.000;1
BEB-002;Country Club 2LT;Bebidas;UND;0.18;88.0000;115.0000;90.000;24.000;1
